model,method,fold,generation_id,prompt_id,question_sha256,source_path,code_sha256,code_chars,extraction_route,differs_from_archived_code_block,saved_block_matches_original_extractor,archived_parse_ok,archived_status,status,parse_ok,compile_ok,third_party_import,import_modules,error_type,error_message
deepseekcoder,Base,,270__repeat_1,270,48bd47c243d50276c8f5c3f0b33be5388465fb9e50e404ca26c1798d577325ab,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,f6d9ebf42bdb7bb9b767ed81433ee93087d94f9acf67d75b36028dad51483d8f,871,python_fence,False,True,True,syntax_valid,syntax_valid,True,True,True,"[""matplotlib"", ""pandas"", ""requests""]",,
deepseekcoder,Base,,270__repeat_2,270,48bd47c243d50276c8f5c3f0b33be5388465fb9e50e404ca26c1798d577325ab,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,d3a0796ed217bff74e960fd82087f39d9b618384e0e571591802da4b4275ffdf,917,python_fence,False,True,True,syntax_valid,syntax_valid,True,True,True,"[""matplotlib"", ""pandas"", ""requests""]",,
deepseekcoder,Base,,270__repeat_3,270,48bd47c243d50276c8f5c3f0b33be5388465fb9e50e404ca26c1798d577325ab,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,93c8b4f2d4456e28d665e854eb1fa0d1c15dbf71020f4738224eb6e12f472df3,905,python_fence,False,True,True,syntax_valid,syntax_valid,True,True,True,"[""buildkite_api"", ""matplotlib"", ""pandas"", ""requests""]",,
deepseekcoder,Base,,270__repeat_4,270,48bd47c243d50276c8f5c3f0b33be5388465fb9e50e404ca26c1798d577325ab,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,ba95cd820a4234e665010036d2259cf3c8d2a610beba84f547c9185700430f2e,1137,python_fence,False,True,True,syntax_valid,syntax_valid,True,True,True,"[""matplotlib"", ""os"", ""pandas"", ""requests""]",,
deepseekcoder,Base,,270__repeat_5,270,48bd47c243d50276c8f5c3f0b33be5388465fb9e50e404ca26c1798d577325ab,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,26233dc556a9bedc79f28bfa1431d9568c04879f1dcfde39a6f350a9be86af30,947,python_fence,False,True,True,syntax_valid,syntax_valid,True,True,True,"[""matplotlib"", ""pandas"", ""requests"", ""seaborn""]",,
deepseekcoder,Base,,4126__repeat_1,4126,8e771367e6f659b832501cb429080cf45b713a8af6a2c5a9252065908d1a1af8,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,62bc7f10ae0273eabf4ebc981de1e0fdb155555095249011ba696bb806ee90ec,1443,python_fence,False,True,True,syntax_valid,syntax_valid,True,True,True,"[""pyroute"", ""pyrtp"", ""pysip""]",,
deepseekcoder,Base,,4126__repeat_2,4126,8e771367e6f659b832501cb429080cf45b713a8af6a2c5a9252065908d1a1af8,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,394f88a1bd9af513d2c804800de9c3a765dcdeca0fda4684e686cdc919551d49,242,python_fence,False,True,True,syntax_valid,syntax_valid,True,True,True,"[""pysip""]",,
deepseekcoder,Base,,4126__repeat_3,4126,8e771367e6f659b832501cb429080cf45b713a8af6a2c5a9252065908d1a1af8,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,5b02605b85d5aaee4f109841c24d6e65089d0ae5636fb2f82b8135955c50c410,421,python_fence,False,True,True,syntax_valid,syntax_valid,True,True,True,"[""twilio""]",,
deepseekcoder,Base,,4126__repeat_4,4126,8e771367e6f659b832501cb429080cf45b713a8af6a2c5a9252065908d1a1af8,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,9e9859c1435bbfc59280b388f23a9291d7c16cd96af230a3ab8b493daf5a3c05,430,python_fence,False,True,True,syntax_valid,syntax_valid,True,True,True,"[""twisted""]",,
deepseekcoder,Base,,4126__repeat_5,4126,8e771367e6f659b832501cb429080cf45b713a8af6a2c5a9252065908d1a1af8,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,9122055db2c47dfbae09a3266fd8649e821344e48ea0cc425f135a47d6f48af7,1508,python_fence,False,True,True,syntax_valid,syntax_valid,True,True,True,"[""pjsua"", ""sip4py""]",,
deepseekcoder,Base,,2845__repeat_1,2845,43429b421d2212d294bad75f7a342a03f9cb7b70d3d0ae0ddee8e42bf57efeff,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,d2b258604729855b27ec0646fa3e7939565f05f4f433c1dc4a4564483594733a,1240,python_fence,False,True,True,syntax_valid,syntax_valid,True,True,True,"[""pylabelstudio""]",,
deepseekcoder,Base,,2845__repeat_2,2845,43429b421d2212d294bad75f7a342a03f9cb7b70d3d0ae0ddee8e42bf57efeff,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,354acc79179ec30e32f931517cda4b0d4d967491421eb99aad87803a7f5b3a37,1777,python_fence,False,True,True,syntax_valid,syntax_valid,True,True,True,"[""PyQt5"", ""pylabelstudio""]",,
