anonymous_task_id,model,prompt_id,ground_truth_status,prompt_explicit_anchor,reference_dependency_recall_eligible,reason
TASK-c6cb64d82677dd9c,deepseekcoder,712,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-ca210f1d31f3f776,deepseekcoder,4680,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-1ccb139a828146bd,llama3.1-release,3827,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-cffb46307a16d142,qwen3-release,1588,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-a7097b0b0a9884be,llama3.1-release,4315,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-df4f6f0af4f98ab9,deepseekcoder,2195,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-47099de402232ce8,qwen3-release,2049,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-d1596a655ed847e1,llama3.1-release,2821,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-9e88043e117f07bd,qwen3-release,1039,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-6a7e8d705eef8bf2,qwen3-release,1281,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-4f625c76a0f573fd,qwen3-release,2010,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-fb238b01942fb8b5,llama3.1-release,2380,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-22500831992e201b,qwen3-release,4868,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-bc9165593df89b41,deepseekcoder,732,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-04d3faf70faa712d,deepseekcoder,3259,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-6102cc6daea1e99f,llama3.1-release,1330,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-8d6145c4ada0caa5,llama3.1-release,4433,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-65a89a41b9785175,deepseekcoder,1537,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-a7a4dba67afc882e,qwen3-release,185,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-526799b2e44e9163,llama3.1-release,470,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-3ba95f14c41911c1,llama3.1-release,3039,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-6dd6968f54c7ab61,qwen3-release,3901,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-0064dfbd01f8b25d,deepseekcoder,1541,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-74c4e54e4065e671,llama3.1-release,2105,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-95296e36d58d50a5,deepseekcoder,2743,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-38815d1f1bb3d774,qwen3-release,439,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-affecfc45cbe926d,qwen3-release,394,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-5e591ca43b37830e,deepseekcoder,465,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-55b0b4b283864261,qwen3-release,3825,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-2c0b832bcb533c42,llama3.1-release,4403,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-b5e8a20da07b93f2,deepseekcoder,995,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-9b869c09cf724f55,llama3.1-release,615,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-4005e393be022acf,deepseekcoder,4111,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-10f75231042d1add,llama3.1-release,3373,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-7eae5a13d9eceee7,llama3.1-release,354,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-d1a070bccc5e34ac,qwen3-release,3198,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-59948f3a981e4275,llama3.1-release,3531,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-c820240de39f9f64,qwen3-release,1248,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-3d2a7e0a84c1f00e,llama3.1-release,353,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-0cfbb603fc4c47a7,deepseekcoder,3022,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-95b8776d1418e625,deepseekcoder,3692,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-0c3e3c70fc6b6e7b,qwen3-release,2215,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-04bb73f56810f220,llama3.1-release,4368,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-a5057052fd507974,qwen3-release,2836,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-f33f68651d2eca07,deepseekcoder,1804,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-50147ba4b0f7f7db,deepseekcoder,1380,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-a177a45ec68f0d44,llama3.1-release,671,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-62cf118c26c1c254,llama3.1-release,755,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-a7f84f7190565b70,deepseekcoder,3963,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-eed19d9b2dd696a5,llama3.1-release,323,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-c75547cbbe41cd72,deepseekcoder,934,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-df886b6850df3d39,llama3.1-release,4402,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-eeb1c3a746341ea8,deepseekcoder,4261,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-f883de14a8e6032d,deepseekcoder,3066,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-681bf8b7a1dcb027,qwen3-release,647,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-23c0b8edeaad81ef,qwen3-release,2969,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-9e43bc9da1683d47,qwen3-release,3560,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-680094a6e2b8fe61,qwen3-release,4244,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-7a841098e0a2f148,qwen3-release,4203,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
TASK-441154ccd637c7df,deepseekcoder,88,unavailable,not_used_as_complete_ground_truth,false,official artifact does not publish prompt-to-source-package/reference-dependency mapping
