model,fold,generation_id,prompt_id,source_path,raw_sha256,extracted_code_sha256,saved_code_block_sha256,extraction_route,saved_block_matches_original_extractor,new_code_differs_from_saved_block,saved_block_parse_ok,saved_block_status,status,parse_ok,compile_ok,third_party_import,import_modules,error_type,error_message
deepseekcoder,A,270__repeat_1,270,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,3f93e6d65fa68e4b94c5c9ea7092f6274d95b5c513b8257cfaeb577c24314072,f6d9ebf42bdb7bb9b767ed81433ee93087d94f9acf67d75b36028dad51483d8f,f6d9ebf42bdb7bb9b767ed81433ee93087d94f9acf67d75b36028dad51483d8f,python_fence,True,False,True,syntax_valid,syntax_valid,True,True,True,"[""matplotlib"", ""pandas"", ""requests""]",,
deepseekcoder,A,270__repeat_2,270,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,9391313720127cf7af6edf418b6643c7d7a4f082f26558860eea44813aa0c2bf,d3a0796ed217bff74e960fd82087f39d9b618384e0e571591802da4b4275ffdf,d3a0796ed217bff74e960fd82087f39d9b618384e0e571591802da4b4275ffdf,python_fence,True,False,True,syntax_valid,syntax_valid,True,True,True,"[""matplotlib"", ""pandas"", ""requests""]",,
deepseekcoder,A,270__repeat_3,270,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,2f72c1fc5b0a2b3172fc79129156438a4c327d61bac33c8e903e30031fe93264,93c8b4f2d4456e28d665e854eb1fa0d1c15dbf71020f4738224eb6e12f472df3,93c8b4f2d4456e28d665e854eb1fa0d1c15dbf71020f4738224eb6e12f472df3,python_fence,True,False,True,syntax_valid,syntax_valid,True,True,True,"[""buildkite_api"", ""matplotlib"", ""pandas"", ""requests""]",,
deepseekcoder,A,270__repeat_4,270,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,87b360b23ecf49972678f84bedd0ac289f4779b5abf05e13bdad8b21d9362554,ba95cd820a4234e665010036d2259cf3c8d2a610beba84f547c9185700430f2e,ba95cd820a4234e665010036d2259cf3c8d2a610beba84f547c9185700430f2e,python_fence,True,False,True,syntax_valid,syntax_valid,True,True,True,"[""matplotlib"", ""os"", ""pandas"", ""requests""]",,
deepseekcoder,A,270__repeat_5,270,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,2cd8a1b29d2595e875c7f43168792be1baf5ee2ed1ea2cf0af636d29f1bf877f,26233dc556a9bedc79f28bfa1431d9568c04879f1dcfde39a6f350a9be86af30,26233dc556a9bedc79f28bfa1431d9568c04879f1dcfde39a6f350a9be86af30,python_fence,True,False,True,syntax_valid,syntax_valid,True,True,True,"[""matplotlib"", ""pandas"", ""requests"", ""seaborn""]",,
deepseekcoder,A,4126__repeat_1,4126,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,0e21a077f933be09bc88acf76ad6c4e9a94af146ea16f25476ded7f863214b69,62bc7f10ae0273eabf4ebc981de1e0fdb155555095249011ba696bb806ee90ec,62bc7f10ae0273eabf4ebc981de1e0fdb155555095249011ba696bb806ee90ec,python_fence,True,False,True,syntax_valid,syntax_valid,True,True,True,"[""pyroute"", ""pyrtp"", ""pysip""]",,
deepseekcoder,A,4126__repeat_2,4126,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,751c015bc0364d73adf001f05b44d75c9dfcd148f34fe80df8962a890eef7a35,394f88a1bd9af513d2c804800de9c3a765dcdeca0fda4684e686cdc919551d49,394f88a1bd9af513d2c804800de9c3a765dcdeca0fda4684e686cdc919551d49,python_fence,True,False,True,syntax_valid,syntax_valid,True,True,True,"[""pysip""]",,
deepseekcoder,A,4126__repeat_3,4126,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,b51088e25ff112c6a9e2f51a9d53d95710fbbc07a2eb6f71684dc9e1f552cb8c,5b02605b85d5aaee4f109841c24d6e65089d0ae5636fb2f82b8135955c50c410,5b02605b85d5aaee4f109841c24d6e65089d0ae5636fb2f82b8135955c50c410,python_fence,True,False,True,syntax_valid,syntax_valid,True,True,True,"[""twilio""]",,
deepseekcoder,A,4126__repeat_4,4126,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,f80e7428ff8c23dd6008f7a445f1daf1e4160541baafe534763e85daebf90aab,9e9859c1435bbfc59280b388f23a9291d7c16cd96af230a3ab8b493daf5a3c05,9e9859c1435bbfc59280b388f23a9291d7c16cd96af230a3ab8b493daf5a3c05,python_fence,True,False,True,syntax_valid,syntax_valid,True,True,True,"[""twisted""]",,
deepseekcoder,A,4126__repeat_5,4126,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,ec6ae978cf0d8b858b0ad0da35ff336ad1c1f7949e6b80be1b3fdc00a077abdf,9122055db2c47dfbae09a3266fd8649e821344e48ea0cc425f135a47d6f48af7,9122055db2c47dfbae09a3266fd8649e821344e48ea0cc425f135a47d6f48af7,python_fence,True,False,True,syntax_valid,syntax_valid,True,True,True,"[""pjsua"", ""sip4py""]",,
deepseekcoder,A,2845__repeat_1,2845,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,3d0099e111747461b14ef411881f4a4049288a79338d37385da8b3f6d91cd418,d2b258604729855b27ec0646fa3e7939565f05f4f433c1dc4a4564483594733a,d2b258604729855b27ec0646fa3e7939565f05f4f433c1dc4a4564483594733a,python_fence,True,False,True,syntax_valid,syntax_valid,True,True,True,"[""pylabelstudio""]",,
deepseekcoder,A,2845__repeat_2,2845,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,8a17fcc60f77a768dda942f83c85ddd6f1b77d9a03a37ab67d76f299662c4144,354acc79179ec30e32f931517cda4b0d4d967491421eb99aad87803a7f5b3a37,354acc79179ec30e32f931517cda4b0d4d967491421eb99aad87803a7f5b3a37,python_fence,True,False,True,syntax_valid,syntax_valid,True,True,True,"[""PyQt5"", ""pylabelstudio""]",,
deepseekcoder,A,2845__repeat_3,2845,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,dd849f8bfd6cae25e67f34e97f9801bd563356cc5bca7ed0c6a8bea084fa2034,8a9ac8a3b5f404859a3c45d094e104a4fe5951f82a5c329544e5fd97bfc873d8,8a9ac8a3b5f404859a3c45d094e104a4fe5951f82a5c329544e5fd97bfc873d8,python_fence,True,False,True,syntax_valid,syntax_valid,True,True,True,"[""PyQt5"", ""os"", ""pylabelstudio"", ""subprocess""]",,
deepseekcoder,A,2845__repeat_4,2845,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,7924f7e3478078239ac13438980fda5647deade243e9ef4358aab6f2fb4368a9,cf3e491b975ba786b23afcaa69bd7044c00169339330af9c113cc038df3e6f23,cf3e491b975ba786b23afcaa69bd7044c00169339330af9c113cc038df3e6f23,python_fence,True,False,True,syntax_valid,syntax_valid,True,True,True,"[""pylabelstudio""]",,
deepseekcoder,A,2845__repeat_5,2845,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,64ac26d42aaf66d0bfcedf22ddf60f26416f746c9bf68ea17ef4179f390317dc,d58f31f3fea871464fee99fff70fba3c428f0e5e9909ce529528ee144133907e,d58f31f3fea871464fee99fff70fba3c428f0e5e9909ce529528ee144133907e,python_fence,True,False,True,syntax_valid,syntax_valid,True,True,True,"[""pylabelstudio""]",,
deepseekcoder,A,782__repeat_1,782,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,da5ee2d58569ce1cd2ad404a3cfdd585aca955aad26c2acb1ac26cb0b2bfe675,ae231dafa58310fc9b54fcaefe9a7e6bb50c4644a60f5d8703577752f8a0a4e8,ae231dafa58310fc9b54fcaefe9a7e6bb50c4644a60f5d8703577752f8a0a4e8,python_fence,True,False,True,syntax_valid,syntax_valid,True,True,True,"[""ibm_cloud_sdk_core"", ""ibm_resource_group"", ""ibm_resource_instances""]",,
deepseekcoder,A,782__repeat_2,782,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,18a86075574848595a5a7f8911ca04f92f5c312d64429983d50eb0e5ba03562b,1d550f1b333e30762fe02972b919adae5e6de0c9e3b50ddae4ca379d494fc355,1d550f1b333e30762fe02972b919adae5e6de0c9e3b50ddae4ca379d494fc355,python_fence,True,False,True,syntax_valid,syntax_valid,True,True,True,"[""ibm_boto3"", ""ibm_botocore""]",,
deepseekcoder,A,782__repeat_3,782,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,d28983d43c11b077ea170e5c3828a1accbe7942345f8d18467e0668e6254e7b6,a9459aabcd5bc9a5635fc9386398db52a159b81e1df8e846da0b1f539861c1a9,a9459aabcd5bc9a5635fc9386398db52a159b81e1df8e846da0b1f539861c1a9,python_fence,True,False,True,syntax_valid,syntax_valid,True,True,True,"[""ibm_cloud_iaas_services"", ""ibm_cloud_sdk_core""]",,
deepseekcoder,A,782__repeat_4,782,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,25266e145c91861af0b1a7704e6bac3897b332a0d0b3dd8e022ce944ee64c5f7,9eb6e0cb06b5c296c7a0737ee532bc4810fcb72f734a0bcae722e2bdb32c55ee,9eb6e0cb06b5c296c7a0737ee532bc4810fcb72f734a0bcae722e2bdb32c55ee,python_fence,True,False,True,syntax_valid,syntax_valid,True,True,True,"[""ibm_cloud_sdk_core"", ""ibm_cos"", ""ibm_watson""]",,
deepseekcoder,A,782__repeat_5,782,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,101800ba35b7799c9edccafb09bb8264703180dac388c3b1989054eeaf9d2867,5b75c2a245e6c3aea62f8b4c7692bf3bfc37eda926881882b51c3578d1faf4bf,5b75c2a245e6c3aea62f8b4c7692bf3bfc37eda926881882b51c3578d1faf4bf,python_fence,True,False,True,syntax_valid,syntax_valid,True,True,True,"[""ibm_cloud_platform_services"", ""ibm_cloud_sdk_core""]",,
deepseekcoder,A,3302__repeat_1,3302,knowledgeEdit/results/rq2_cross_task_20260611/deepseekcoder/Base/fold_A/test100_case_repeat5/rq2_details.jsonl,4576265e4daf4be6b9320265891be31840c573843d093c16ee3ec30606871711,a00f53938599511d54d9c91f17690b2a6383bcd529ce7a9bc6ddd0988f45aba9,a00f53938599511d54d9c91f17690b2a6383bcd529ce7a9bc6ddd0988f45aba9,python_fence,True,False,True,syntax_valid,syntax_valid,True,True,True,"[""omero""]",,
