model,fold,full_report,hall_only_report,full_report_sha256,hall_only_report_sha256,full_modules,hall_only_modules,module_jaccard,full_sample_hr,full_package_hr,full_valid_rate,full_empty_rate,hall_only_sample_hr,hall_only_package_hr,hall_only_valid_rate,hall_only_empty_rate
deepseekcoder,A,knowledgeEdit/results/robust_nonedit_highrisk_20260605/deepseekcoder/fold_A/blast_50/localization_report.json,knowledgeEdit/results/rq3_ablation_20260613/deepseekcoder/fold_A/wo_valid_anchor/localization_report.json,7cbbc004a5d006e5507ba9d4ca5ae8ad1254b17364652584a0f60e3089c65061,603769ba2fa217f0e467effb690b7a852272e001948eab6179de9040d6c16224,7,7,1.0,0.22599999999999987,0.12278570885213852,0.796,0.164,0.21999999999999986,0.11552634108859698,0.814,0.14
deepseekcoder,B,knowledgeEdit/results/robust_nonedit_highrisk_20260605/deepseekcoder/fold_B/blast_50/localization_report.json,knowledgeEdit/results/rq3_ablation_20260613/deepseekcoder/fold_B/wo_valid_anchor/localization_report.json,a68b90bb36df4d8c11f308aa080327050f7463b6570f0003dc3bee63d5629741,a254c10d339e5ad860823c0ecc7bfb0e59c6370e6ad6c099cac1d1de6b52d8fb,7,7,0.75,0.39399999999999996,0.19630216939589137,0.8699999999999999,0.044,0.3979999999999999,0.19390269522904233,0.852,0.072
deepseekcoder,C,knowledgeEdit/results/robust_nonedit_highrisk_20260605/deepseekcoder/fold_C/blast_50/localization_report.json,knowledgeEdit/results/rq3_ablation_20260613/deepseekcoder/fold_C/wo_valid_anchor/localization_report.json,55ff1065455a43f8855b3b0af5064e20456e99b447e5379636f9dbccb2e33899,83cd5b58d63b22be39d890b5e66e23210a590a9cbc2fcbf0fd4d4f038dd4551e,7,7,1.0,0.37999999999999984,0.1417091566263586,0.936,0.044,0.36200000000000004,0.14303320023317428,0.932,0.046
deepseekcoder,D,knowledgeEdit/results/robust_nonedit_highrisk_20260605/deepseekcoder/fold_D/blast_50/localization_report.json,knowledgeEdit/results/rq3_ablation_20260613/deepseekcoder/fold_D/wo_valid_anchor/localization_report.json,1887c2457dce0c6e9b86ddba6cc4bc96996d2ed7289fe4bc918454dd81238e97,f32fabdf0c970ca0ced860e5816a8656fc18a6c041b7566871d4c7db94f57921,7,7,0.75,0.44800000000000006,0.18652152533007232,0.932,0.026,0.5339999999999998,0.25947233940817716,0.9059999999999998,0.012
qwen3-release,A,knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3-release/fold_A/blast_50/localization_report.json,knowledgeEdit/results/rq3_ablation_20260613/qwen3-release/fold_A/wo_valid_anchor/localization_report.json,e04591e8097d27e3c64a29e16845dc8d7967e1274a9b2eeb71bc226a1f2887b6,7b725d8f6bfad8433d757bb1d81c0e6aefe87e5afad9b7e3c7c8f6bc66e3483a,9,9,1.0,0.09399999999999999,0.048799782527414105,0.86,0.116,0.07800000000000001,0.05473568725735909,0.8440000000000001,0.12
qwen3-release,B,knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3-release/fold_B/blast_50/localization_report.json,knowledgeEdit/results/rq3_ablation_20260613/qwen3-release/fold_B/wo_valid_anchor/localization_report.json,ec1ac163ba9942bfe4bdf8e608720b55b5c1d01ddeeb4bbbcb1fdb7dbc99f2e4,f067f1472adbd3de6951dc58bd07385efa13e5e8d2e7f53f67bec5b2c2af98c3,9,9,1.0,0.08999999999999998,0.06194288473699967,0.54,0.434,0.09199999999999997,0.05461343476784652,0.5320000000000001,0.45
qwen3-release,C,knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3-release/fold_C/blast_50/localization_report.json,knowledgeEdit/results/rq3_ablation_20260613/qwen3-release/fold_C/wo_valid_anchor/localization_report.json,eb9a8af1da111cfdac11b2a0690e263213acfa92124efa4f4736fb4ce121c865,38d7244a222d4a3f2783c722257e85106e27d00561514095f6ac8edaffe4b6a1,9,9,1.0,0.17999999999999997,0.10390383600064328,0.7020000000000001,0.28,0.176,0.11636085844501794,0.6920000000000001,0.29
qwen3-release,D,knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3-release/fold_D/blast_50/localization_report.json,knowledgeEdit/results/rq3_ablation_20260613/qwen3-release/fold_D/wo_valid_anchor/localization_report.json,626e27b2f745b5fc67500de161b0c995d047b629fa7d87d5799817b447251f55,afc18e4a9db66fdb81f006e356e8a26cb41ea10bdef46c879d6bfe7fe2bcca7f,9,9,1.0,0.15600000000000003,0.06600800157800828,0.8039999999999998,0.19,0.13799999999999998,0.0660061011397549,0.7999999999999998,0.19
llama3.1-release,A,knowledgeEdit/results/robust_nonedit_highrisk_20260605/llama3.1-release/fold_A/blast_50/localization_report.json,knowledgeEdit/results/rq3_ablation_20260613/llama3.1-release/fold_A/wo_valid_anchor/localization_report.json,acbf4ab08328164486b7cab643d4b2c1637d81ee3523102779e8d089716848fd,1c0c6bf698146c4b83dd1d0e95b14bda9d471c983c5b5a28dfbf6e7a8b5db8ee,7,7,1.0,0.612,0.24878833950912868,0.9620000000000001,0.008,0.768,0.4587534129257533,0.826,0.006
llama3.1-release,B,knowledgeEdit/results/robust_nonedit_highrisk_20260605/llama3.1-release/fold_B/blast_50/localization_report.json,knowledgeEdit/results/rq3_ablation_20260613/llama3.1-release/fold_B/wo_valid_anchor/localization_report.json,94b7a69042ae72b9fd056ceeb20f48028281fccb75687aecbf50a68b6494f462,25f54f4c8ba986e3735382473dbc184a66eb8e9a414a98e3cdc8c7a096abe296,7,7,1.0,0.3680000000000001,0.22228207336893102,0.6560000000000001,0.332,0.36199999999999977,0.18936528275435488,0.6560000000000001,0.334
