model,method,fold,generation_id,ast_status,token_error,import_candidates,rejected_import_statements,import_count,ast_set_equal,ast_missing,ast_extra
deepseekcoder,Base,A,270__repeat_1,ast_ok,,3,0,3,1,[],[]
deepseekcoder,Base,A,270__repeat_2,ast_ok,,3,0,3,1,[],[]
deepseekcoder,Base,A,270__repeat_3,ast_ok,,4,0,4,1,[],[]
deepseekcoder,Base,A,270__repeat_4,ast_ok,,4,0,4,1,[],[]
deepseekcoder,Base,A,270__repeat_5,ast_ok,,4,0,4,1,[],[]
deepseekcoder,Base,A,4126__repeat_1,ast_ok,,3,0,3,1,[],[]
deepseekcoder,Base,A,4126__repeat_2,ast_ok,,1,0,1,1,[],[]
deepseekcoder,Base,A,4126__repeat_3,ast_ok,,1,0,1,1,[],[]
deepseekcoder,Base,A,4126__repeat_4,ast_ok,,2,0,2,1,[],[]
deepseekcoder,Base,A,4126__repeat_5,ast_ok,,2,0,2,1,[],[]
deepseekcoder,Base,A,2845__repeat_1,ast_ok,,1,0,1,1,[],[]
deepseekcoder,Base,A,2845__repeat_2,ast_ok,,2,0,2,1,[],[]
deepseekcoder,Base,A,2845__repeat_3,ast_ok,,4,0,4,1,[],[]
deepseekcoder,Base,A,2845__repeat_4,ast_ok,,4,0,1,1,[],[]
deepseekcoder,Base,A,2845__repeat_5,ast_ok,,2,0,2,1,[],[]
deepseekcoder,Base,A,782__repeat_1,ast_ok,,4,0,4,1,[],[]
deepseekcoder,Base,A,782__repeat_2,ast_ok,,3,0,3,1,[],[]
deepseekcoder,Base,A,782__repeat_3,ast_ok,,3,0,3,1,[],[]
deepseekcoder,Base,A,782__repeat_4,ast_ok,,4,0,4,1,[],[]
deepseekcoder,Base,A,782__repeat_5,ast_ok,,4,0,3,1,[],[]
deepseekcoder,Base,A,3302__repeat_1,ast_ok,,1,0,1,1,[],[]
deepseekcoder,Base,A,3302__repeat_2,ast_ok,,3,0,3,1,[],[]
deepseekcoder,Base,A,3302__repeat_3,ast_ok,,4,0,4,1,[],[]
deepseekcoder,Base,A,3302__repeat_4,ast_ok,,3,0,3,1,[],[]
deepseekcoder,Base,A,3302__repeat_5,ast_ok,,4,0,4,1,[],[]
deepseekcoder,Base,A,3063__repeat_1,ast_ok,,1,0,1,1,[],[]
deepseekcoder,Base,A,3063__repeat_2,ast_ok,,1,0,1,1,[],[]
deepseekcoder,Base,A,3063__repeat_3,ast_ok,,1,0,1,1,[],[]
deepseekcoder,Base,A,3063__repeat_4,ast_ok,,1,0,1,1,[],[]
deepseekcoder,Base,A,3063__repeat_5,ast_ok,,1,0,1,1,[],[]
deepseekcoder,Base,A,2000__repeat_1,ast_ok,,1,0,1,1,[],[]
deepseekcoder,Base,A,2000__repeat_2,parse_failure,,0,0,0,,,
deepseekcoder,Base,A,2000__repeat_3,ast_ok,,2,0,2,1,[],[]
deepseekcoder,Base,A,2000__repeat_4,ast_ok,,1,0,1,1,[],[]
deepseekcoder,Base,A,2000__repeat_5,ast_ok,,4,0,4,1,[],[]
deepseekcoder,Base,A,2347__repeat_1,ast_ok,,9,0,8,1,[],[]
deepseekcoder,Base,A,2347__repeat_2,ast_ok,,5,0,3,1,[],[]
deepseekcoder,Base,A,2347__repeat_3,ast_ok,,29,0,23,1,[],[]
deepseekcoder,Base,A,2347__repeat_4,ast_ok,,4,0,4,1,[],[]
deepseekcoder,Base,A,2347__repeat_5,ast_ok,,4,0,2,1,[],[]
deepseekcoder,Base,A,59__repeat_1,ast_ok,,7,0,6,1,[],[]
deepseekcoder,Base,A,59__repeat_2,ast_ok,,7,0,7,1,[],[]
deepseekcoder,Base,A,59__repeat_3,ast_ok,,7,0,6,1,[],[]
deepseekcoder,Base,A,59__repeat_4,ast_ok,,5,0,5,1,[],[]
deepseekcoder,Base,A,59__repeat_5,ast_ok,,7,0,7,1,[],[]
deepseekcoder,Base,A,4381__repeat_1,ast_ok,,3,0,3,1,[],[]
deepseekcoder,Base,A,4381__repeat_2,ast_ok,,3,0,3,1,[],[]
deepseekcoder,Base,A,4381__repeat_3,ast_ok,,3,0,3,1,[],[]
deepseekcoder,Base,A,4381__repeat_4,ast_ok,,3,0,3,1,[],[]
deepseekcoder,Base,A,4381__repeat_5,ast_ok,,4,0,4,1,[],[]
deepseekcoder,Base,A,547__repeat_1,ast_ok,,3,0,3,1,[],[]
