table,cell_id,model,method_or_setting,scope_or_task,metric,paper_value,recomputed_value,absolute_difference,status,aggregation,source_paths,source_fields,notes
tab:main_results_three_models,deepseekcoder|Base|edit50|Sample-HR,deepseekcoder,Base,edit50,Sample-HR,0.814,0.814,2.220446049e-16,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/base_edit50_eval.json,summary.sample_hallucination_rate,
tab:main_results_three_models,deepseekcoder|Base|edit50|Package-HR,deepseekcoder,Base,edit50,Package-HR,0.4091,0.4090643788,3.562121298e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/base_edit50_eval.json,summary.package_hallucination_rate,
tab:main_results_three_models,deepseekcoder|Base|edit50|Valid-Rate,deepseekcoder,Base,edit50,Valid-Rate,0.827,0.827,0,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/base_edit50_eval.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/base_edit50_eval.json,summary.sample_valid_rate,
tab:main_results_three_models,deepseekcoder|Base|unseen|Sample-HR,deepseekcoder,Base,unseen,Sample-HR,0.8333,0.833271719,2.828096118e-05,match,single heldout base run,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/base_heldout_highrisk_eval.json,summary.sample_hallucination_rate,
tab:main_results_three_models,deepseekcoder|Base|unseen|Package-HR,deepseekcoder,Base,unseen,Package-HR,0.4414,0.4413979655,2.034491096e-06,match,single heldout base run,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/base_heldout_highrisk_eval.json,summary.package_hallucination_rate,
tab:main_results_three_models,deepseekcoder|Base|unseen|Valid-Rate,deepseekcoder,Base,unseen,Valid-Rate,0.7978,0.7977818854,1.811460259e-05,match,single heldout base run,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/base_heldout_highrisk_eval.json,summary.sample_valid_rate,
tab:main_results_three_models,deepseekcoder|BOUND|edit50|Sample-HR,deepseekcoder,BOUND,edit50,Sample-HR,0.198,0.198,0,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/BOUND/eval_edit_prompts.json,summary.edited_sample_hallucination_rate,
tab:main_results_three_models,deepseekcoder|BOUND|edit50|Package-HR,deepseekcoder,BOUND,edit50,Package-HR,0.0745,0.07448480139,1.519860798e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/BOUND/eval_edit_prompts.json,summary.edited_package_hallucination_rate,
tab:main_results_three_models,deepseekcoder|BOUND|edit50|Valid-Rate,deepseekcoder,BOUND,edit50,Valid-Rate,0.948,0.948,0,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/BOUND/eval_edit_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/BOUND/eval_edit_prompts.json,summary.edited_sample_valid_rate,
tab:main_results_three_models,deepseekcoder|BOUND|unseen|Sample-HR,deepseekcoder,BOUND,unseen,Sample-HR,0.3712,0.3711645102,3.548983364e-05,match,arithmetic mean across four folds,BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_A/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_B/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_C/BOUND/eval_unseen_prompts.json;BOUND/results/paper/rq1_package_recommendation/deepseekcoder/fold_D/BOUND/eval_unseen_prompts.json,summary.edited_sample_hallucination_rate,
