model,method,fold,generation_id,prompt_id,extraction,ast_status,tokenizer_error,import_paths,local_paths,resolved_distributions,unresolved_imports,unknown_date_paths,original_mapper_output,original_valid,original_hallucinated,audited_valid,audited_hallucinated,mapping_known,mapping_correct,label_known,label_agree,known_valid_count,known_hall_count,unknown_count
deepseekcoder,Base,A,270__repeat_1,270,full_ast,ast_ok,,"[""matplotlib.pyplot"", ""pandas"", ""requests""]",[],"[""matplotlib"", ""pandas"", ""requests""]",{},[],"[""matplotlib"", ""pandas"", ""requests""]","[""matplotlib"", ""pandas"", ""requests""]",[],"[""matplotlib"", ""pandas"", ""requests""]",[],1,1,1,1,3,0,0
deepseekcoder,Base,A,270__repeat_2,270,full_ast,ast_ok,,"[""matplotlib.pyplot"", ""pandas"", ""requests""]",[],"[""matplotlib"", ""pandas"", ""requests""]",{},[],"[""matplotlib"", ""pandas"", ""requests""]","[""matplotlib"", ""pandas"", ""requests""]",[],"[""matplotlib"", ""pandas"", ""requests""]",[],1,1,1,1,3,0,0
deepseekcoder,Base,A,270__repeat_3,270,full_ast,ast_ok,,"[""buildkite_api"", ""matplotlib.pyplot"", ""pandas"", ""requests""]",[],"[""matplotlib"", ""pandas"", ""requests""]","{""buildkite_api"": ""unknown""}",[],"[""buildkite-api"", ""matplotlib"", ""pandas"", ""requests""]","[""matplotlib"", ""pandas"", ""requests""]","[""buildkite-api""]","[""matplotlib"", ""pandas"", ""requests""]",[],0,,0,,3,0,1
deepseekcoder,Base,A,270__repeat_4,270,full_ast,ast_ok,,"[""matplotlib.pyplot"", ""pandas"", ""requests""]",[],"[""matplotlib"", ""pandas"", ""requests""]",{},[],"[""matplotlib"", ""pandas"", ""requests""]","[""matplotlib"", ""pandas"", ""requests""]",[],"[""matplotlib"", ""pandas"", ""requests""]",[],1,1,1,1,3,0,0
deepseekcoder,Base,A,270__repeat_5,270,full_ast,ast_ok,,"[""matplotlib.pyplot"", ""pandas"", ""requests"", ""seaborn""]",[],"[""matplotlib"", ""pandas"", ""requests"", ""seaborn""]",{},[],"[""matplotlib"", ""pandas"", ""requests"", ""seaborn""]","[""matplotlib"", ""pandas"", ""requests"", ""seaborn""]",[],"[""matplotlib"", ""pandas"", ""requests"", ""seaborn""]",[],1,1,1,1,4,0,0
deepseekcoder,Base,A,4126__repeat_1,4126,full_ast,ast_ok,,"[""pyroute"", ""pyrtp"", ""pysip""]",[],"[""pysip""]","{""pyroute"": ""unknown"", ""pyrtp"": ""unknown""}",[],"[""pyroute"", ""pyroute2"", ""pysip"", ""python-rtp""]","[""pyroute2"", ""pysip""]","[""pyroute"", ""python-rtp""]","[""pysip""]",[],0,,0,,1,0,2
deepseekcoder,Base,A,4126__repeat_2,4126,full_ast,ast_ok,,"[""pysip""]",[],"[""pysip""]",{},[],"[""pysip""]","[""pysip""]",[],"[""pysip""]",[],1,1,1,1,1,0,0
deepseekcoder,Base,A,4126__repeat_3,4126,full_ast,ast_ok,,"[""twilio.rest""]",[],[],"{""twilio.rest"": ""unknown""}",[],"[""twilio""]","[""twilio""]",[],[],[],0,,0,,0,0,1
deepseekcoder,Base,A,4126__repeat_4,4126,full_ast,ast_ok,,"[""twisted.internet"", ""twisted.internet.protocol""]",[],"[""twisted""]",{},[],"[""twisted""]","[""twisted""]",[],"[""twisted""]",[],1,1,1,1,1,0,0
deepseekcoder,Base,A,4126__repeat_5,4126,full_ast,ast_ok,,"[""pjsua"", ""sip4py.sip""]",[],[],"{""pjsua"": ""unknown"", ""sip4py.sip"": ""unknown""}",[],"[""pjsua"", ""sip4py""]",[],"[""pjsua"", ""sip4py""]",[],[],0,,0,,0,0,2
deepseekcoder,Base,A,2845__repeat_1,2845,full_ast,ast_ok,,"[""pylabelstudio""]",[],[],"{""pylabelstudio"": ""unknown""}",[],"[""pylabelstudio""]",[],"[""pylabelstudio""]",[],[],0,,0,,0,0,1
deepseekcoder,Base,A,2845__repeat_2,2845,full_ast,ast_ok,,"[""PyQt5.QtWidgets"", ""pylabelstudio""]",[],"[""pyqt5""]","{""pylabelstudio"": ""unknown""}",[],"[""pylabelstudio"", ""pyqt5""]","[""pyqt5""]","[""pylabelstudio""]","[""pyqt5""]",[],0,,0,,1,0,1
deepseekcoder,Base,A,2845__repeat_3,2845,full_ast,ast_ok,,"[""PyQt5.QtWidgets"", ""pylabelstudio""]",[],"[""pyqt5""]","{""pylabelstudio"": ""unknown""}",[],"[""pylabelstudio"", ""pyqt5""]","[""pyqt5""]","[""pylabelstudio""]","[""pyqt5""]",[],0,,0,,1,0,1
deepseekcoder,Base,A,2845__repeat_4,2845,full_ast,ast_ok,,"[""pylabelstudio""]",[],[],"{""pylabelstudio"": ""unknown""}",[],"[""pylabelstudio""]",[],"[""pylabelstudio""]",[],[],0,,0,,0,0,1
deepseekcoder,Base,A,2845__repeat_5,2845,full_ast,ast_ok,,"[""pylabelstudio"", ""pylabelstudio.widgets""]",[],[],"{""pylabelstudio"": ""unknown"", ""pylabelstudio.widgets"": ""unknown""}",[],"[""pylabelstudio""]",[],"[""pylabelstudio""]",[],[],0,,0,,0,0,2
deepseekcoder,Base,A,782__repeat_1,782,full_ast,ast_ok,,"[""ibm_cloud_sdk_core"", ""ibm_cloud_sdk_core.authenticators"", ""ibm_resource_group.resource_group_v2"", ""ibm_resource_instances.resource_instances_v2""]",[],"[""ibm-cloud-sdk-core""]","{""ibm_resource_group.resource_group_v2"": ""unknown"", ""ibm_resource_instances.resource_instances_v2"": ""unknown""}",[],"[""ibm-cloud-sdk-core"", ""ibm-resource-group"", ""ibm-resource-instances""]","[""ibm-cloud-sdk-core""]","[""ibm-resource-group"", ""ibm-resource-instances""]","[""ibm-cloud-sdk-core""]",[],0,,0,,1,0,2
deepseekcoder,Base,A,782__repeat_2,782,full_ast,ast_ok,,"[""ibm_boto3"", ""ibm_botocore.client"", ""ibm_botocore.exceptions""]",[],[],"{""ibm_boto3"": ""unknown"", ""ibm_botocore.client"": ""unknown"", ""ibm_botocore.exceptions"": ""unknown""}",[],"[""ibm-boto3"", ""ibm-botocore""]",[],"[""ibm-boto3"", ""ibm-botocore""]",[],[],0,,0,,0,0,3
deepseekcoder,Base,A,782__repeat_3,782,full_ast,ast_ok,,"[""ibm_cloud_iaas_services"", ""ibm_cloud_sdk_core.authenticators"", ""ibm_cloud_sdk_core.exceptions""]",[],"[""ibm-cloud-sdk-core""]","{""ibm_cloud_iaas_services"": ""unknown""}",[],"[""ibm-cloud-iaas-services"", ""ibm-cloud-sdk-core""]","[""ibm-cloud-sdk-core""]","[""ibm-cloud-iaas-services""]","[""ibm-cloud-sdk-core""]",[],0,,0,,1,0,1
deepseekcoder,Base,A,782__repeat_4,782,full_ast,ast_ok,,"[""ibm_cloud_sdk_core.authenticators"", ""ibm_cloud_sdk_core.exceptions"", ""ibm_cos"", ""ibm_watson""]",[],"[""ibm-cloud-sdk-core""]","{""ibm_cos"": ""unknown"", ""ibm_watson"": ""unknown""}",[],"[""ibm-cloud-sdk-core"", ""ibm-cos"", ""ibm-watson""]","[""ibm-cloud-sdk-core"", ""ibm-watson""]","[""ibm-cos""]","[""ibm-cloud-sdk-core""]",[],0,,0,,1,0,2
deepseekcoder,Base,A,782__repeat_5,782,full_ast,ast_ok,,"[""ibm_cloud_platform_services"", ""ibm_cloud_sdk_core"", ""ibm_cloud_sdk_core.authenticators""]",[],"[""ibm-cloud-sdk-core""]","{""ibm_cloud_platform_services"": ""unknown""}",[],"[""ibm-cloud-platform-services"", ""ibm-cloud-sdk-core""]","[""ibm-cloud-sdk-core""]","[""ibm-cloud-platform-services""]","[""ibm-cloud-sdk-core""]",[],0,,0,,1,0,1
deepseekcoder,Base,A,3302__repeat_1,3302,full_ast,ast_ok,,"[""omero.gateway""]",[],[],"{""omero.gateway"": ""unknown""}",[],"[""omero""]",[],"[""omero""]",[],[],0,,0,,0,0,1
deepseekcoder,Base,A,3302__repeat_2,3302,full_ast,ast_ok,,"[""PIL"", ""openslide"", ""tiffslide""]",[],"[""openslide-python"", ""pillow""]","{""tiffslide"": ""unknown""}",[],"[""openslide"", ""pillow"", ""tiffslide""]","[""pillow"", ""tiffslide""]","[""openslide""]","[""openslide-python"", ""pillow""]",[],0,,0,,2,0,1
deepseekcoder,Base,A,3302__repeat_3,3302,full_ast,ast_ok,,"[""PIL"", ""ome_types"", ""ome_zarr.io"", ""ome_zarr.writer""]",[],"[""ome-types"", ""ome-zarr"", ""pillow""]",{},[],"[""ome-types"", ""ome-zarr"", ""pillow""]","[""ome-types"", ""ome-zarr"", ""pillow""]",[],"[""ome-types"", ""ome-zarr"", ""pillow""]",[],1,1,1,1,3,0,0
deepseekcoder,Base,A,3302__repeat_4,3302,full_ast,ast_ok,,"[""PIL"", ""numpy"", ""ome.io.omero.client""]",[],"[""numpy"", ""ome"", ""pillow""]",{},[],"[""numpy"", ""ome"", ""pillow""]","[""numpy"", ""pillow""]","[""ome""]","[""numpy"", ""pillow""]","[""ome""]",1,1,1,1,2,1,0
deepseekcoder,Base,A,3302__repeat_5,3302,full_ast,ast_ok,,"[""PIL"", ""numpy"", ""ome_tiff"", ""ome_types""]",[],"[""numpy"", ""ome-types"", ""pillow""]","{""ome_tiff"": ""unknown""}",[],"[""numpy"", ""ome-tiff"", ""ome-types"", ""pillow""]","[""numpy"", ""ome-types"", ""pillow""]","[""ome-tiff""]","[""numpy"", ""ome-types"", ""pillow""]",[],0,,0,,3,0,1
deepseekcoder,Base,A,3063__repeat_1,3063,full_ast,ast_ok,,"[""dapr.clients""]",[],"[""dapr""]",{},[],"[""dapr-python""]",[],"[""dapr-python""]","[""dapr""]",[],1,0,1,0,1,0,0
deepseekcoder,Base,A,3063__repeat_2,3063,full_ast,ast_ok,,"[""dapr.clients""]",[],"[""dapr""]",{},[],"[""dapr-python-sdk""]",[],"[""dapr-python-sdk""]","[""dapr""]",[],1,0,1,0,1,0,0
deepseekcoder,Base,A,3063__repeat_3,3063,full_ast,ast_ok,,"[""dapr.clients""]",[],"[""dapr""]",{},[],"[""dapr""]","[""dapr""]",[],"[""dapr""]",[],1,1,1,1,1,0,0
deepseekcoder,Base,A,3063__repeat_4,3063,full_ast,ast_ok,,"[""dapr.clients""]",[],"[""dapr""]",{},[],"[""dapr-python-sdk""]",[],"[""dapr-python-sdk""]","[""dapr""]",[],1,0,1,0,1,0,0
deepseekcoder,Base,A,3063__repeat_5,3063,full_ast,ast_ok,,"[""dapr.io""]",[],"[""dapr""]",{},[],"[""dapr-python""]",[],"[""dapr-python""]","[""dapr""]",[],1,0,1,0,1,0,0
deepseekcoder,Base,A,2000__repeat_1,2000,full_ast,ast_ok,,"[""shazamkit""]",[],[],"{""shazamkit"": ""unknown""}",[],"[""shazamkit""]",[],"[""shazamkit""]",[],[],0,,0,,0,0,1
deepseekcoder,Base,A,2000__repeat_2,2000,tokenize_ast_plus_parso_full_line_ast_plus_archived_fallback,parse_failure,,[],[],[],{},[],[],[],[],[],[],1,1,1,1,0,0,0
deepseekcoder,Base,A,2000__repeat_3,2000,full_ast,ast_ok,,"[""google.cloud""]",[],"[""googleapis-common-protos""]",{},[],"[""google-api-python-client"", ""google-auth"", ""google-auth-httplib2"", ""google-auth-oauthlib""]","[""google-api-python-client"", ""google-auth"", ""google-auth-httplib2"", ""google-auth-oauthlib""]",[],"[""googleapis-common-protos""]",[],1,0,1,0,1,0,0
deepseekcoder,Base,A,2000__repeat_4,2000,full_ast,ast_ok,,"[""shazamkit""]",[],[],"{""shazamkit"": ""unknown""}",[],"[""shazamkit""]",[],"[""shazamkit""]",[],[],0,,0,,0,0,1
deepseekcoder,Base,A,2000__repeat_5,2000,full_ast,ast_ok,,"[""shazamkit"", ""shazamkit.models"", ""shazamkit.recognizer""]",[],[],"{""shazamkit"": ""unknown"", ""shazamkit.models"": ""unknown"", ""shazamkit.recognizer"": ""unknown""}",[],"[""shazamkit""]",[],"[""shazamkit""]",[],[],0,,0,,0,0,3
deepseekcoder,Base,A,2347__repeat_1,2347,full_ast,ast_ok,,"[""numpy"", ""pycuda.autoinit"", ""pycuda.driver"", ""pyopencl"", ""sklearn"", ""sklearn.metrics"", ""sklearn.model_selection"", ""sklearn.preprocessing""]",[],"[""numpy"", ""pyopencl"", ""scikit-learn""]","{""pycuda.autoinit"": ""unknown"", ""pycuda.driver"": ""unknown""}",[],"[""numpy"", ""pyopencl"", ""scikit-learn""]","[""numpy"", ""pyopencl"", ""scikit-learn""]",[],"[""numpy"", ""pyopencl"", ""scikit-learn""]",[],0,,0,,3,0,2
deepseekcoder,Base,A,2347__repeat_2,2347,full_ast,ast_ok,,"[""numpy"", ""sklearn"", ""sklearn.model_selection""]",[],"[""numpy"", ""scikit-learn""]",{},[],"[""numpy"", ""scikit-learn""]","[""numpy"", ""scikit-learn""]",[],"[""numpy"", ""scikit-learn""]",[],1,1,1,1,2,0,0
deepseekcoder,Base,A,2347__repeat_3,2347,full_ast,ast_ok,,"[""cv2"", ""keras.applications.inception_v3"", ""keras.applications.resnet50"", ""keras.applications.vgg16"", ""keras.layers"", ""keras.models"", ""matplotlib.pyplot"", ""numba"", ""numpy"", ""pandas"", ""pyopencl"", ""seaborn"", ""sklearn"", ""sklearn.decomposition"", ""sklearn.ensemble"", ""sklearn.externals"", ""sklearn.linear_model"", ""sklearn.metrics"", ""sklearn.model_selection"", ""sklearn.pipeline"", ""tensorflow"", ""tensorflow_datasets""]",[],"[""keras"", ""matplotlib"", ""numba"", ""numpy"", ""opencv-python"", ""pandas"", ""pyopencl"", ""scikit-learn"", ""seaborn"", ""tensorflow""]","{""tensorflow_datasets"": ""unknown""}",[],"[""keras"", ""matplotlib"", ""numba"", ""numpy"", ""opencv-python"", ""pandas"", ""pyopencl"", ""python-dotenv"", ""scikit-learn"", ""seaborn"", ""tensorflow"", ""tensorflow-datasets""]","[""keras"", ""matplotlib"", ""numba"", ""numpy"", ""opencv-python"", ""pandas"", ""pyopencl"", ""python-dotenv"", ""scikit-learn"", ""seaborn"", ""tensorflow"", ""tensorflow-datasets""]",[],"[""keras"", ""matplotlib"", ""numba"", ""numpy"", ""opencv-python"", ""pandas"", ""pyopencl"", ""scikit-learn"", ""seaborn"", ""tensorflow""]",[],0,,0,,10,0,1
deepseekcoder,Base,A,2347__repeat_4,2347,full_ast,ast_ok,,"[""numpy"", ""pyopencl"", ""sklearn"", ""tensorflow""]",[],"[""numpy"", ""pyopencl"", ""scikit-learn"", ""tensorflow""]",{},[],"[""numpy"", ""pyopencl"", ""scikit-learn"", ""tensorflow""]","[""numpy"", ""pyopencl"", ""scikit-learn"", ""tensorflow""]",[],"[""numpy"", ""pyopencl"", ""scikit-learn"", ""tensorflow""]",[],1,1,1,1,4,0,0
deepseekcoder,Base,A,2347__repeat_5,2347,full_ast,ast_ok,,"[""numpy"", ""sklearn""]",[],"[""numpy"", ""scikit-learn""]",{},[],[],[],[],"[""numpy"", ""scikit-learn""]",[],1,0,1,0,2,0,0
deepseekcoder,Base,A,59__repeat_1,59,full_ast,ast_ok,,"[""cupy"", ""matplotlib.pyplot"", ""numpy""]",[],"[""cupy-cuda12x"", ""matplotlib"", ""numpy""]",{},"[""cupy""]","[""cprofile"", ""cupy"", ""matplotlib"", ""numpy""]","[""cupy"", ""matplotlib"", ""numpy""]","[""cprofile""]","[""matplotlib"", ""numpy""]",[],1,0,0,,2,0,1
