model,fold,condition,source_dir,config_sha256,adapter_sha256,edit_cases,rank,alpha,dropout,n_edited_modules,trainable_parameters,adapter_bytes,localization_seconds,edit_seconds,evaluation_seconds,sample_hr,package_hr,valid_rate,empty_rate
deepseekcoder,A,BOUND,knowledgeEdit/results/robust_nonedit_highrisk_20260605/deepseekcoder/fold_A/blast_50,90a5f30e5e3d1f672584672ede71e17e5de91d15a5f6cef7dfbd727314aaa7c8,5ee5f65093a3c222afebc95092fadc84bf01ac34fefe3997984edfe798174978,knowledgeEdit/results/robust_nonedit_highrisk_20260605/deepseekcoder/fold_A/blast_50/selected_task_recommend_cases.jsonl,8,16.0,0.05,7,458752,922953,21.67,69.07,6916.16,0.22599999999999987,0.12278570885213852,0.796,0.164
deepseekcoder,A,All-module LoRA,knowledgeEdit/results/rq3_ablation_20260613/deepseekcoder/fold_A/wo_localization_all_lora,0a1b6f14cddf6a7dab93e75c0a5596ef54e5975ddc304f2d0c37f6e52ac1f975,f4d2b04ae165d42e1c3bfbf0a967daf0518dc943100fe5b15fbadebf03fcf6c8,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/knowledgeEdit/results/robust_nonedit_highrisk_20260605/deepseekcoder/fold_A/blast_50/selected_task_recommend_cases.jsonl,8,16.0,0.05,224,19988480,40118487,0,134.48,1291.8,0.20799999999999996,0.10388908804744311,0.856,0.108
deepseekcoder,B,BOUND,knowledgeEdit/results/robust_nonedit_highrisk_20260605/deepseekcoder/fold_B/blast_50,164e0cfed5680053a34fffbffe704e127274ec739dafa09653f9b29b75a34237,9346a3fc3aa20975eb11e32a2ab7ef9e8209f0d8542176281c530707e73e17d8,knowledgeEdit/results/robust_nonedit_highrisk_20260605/deepseekcoder/fold_B/blast_50/selected_task_recommend_cases.jsonl,8,16.0,0.05,7,458752,922953,22.41,77.08,5588.84,0.39399999999999996,0.19630216939589137,0.8699999999999999,0.044
deepseekcoder,B,All-module LoRA,knowledgeEdit/results/rq3_ablation_20260613/deepseekcoder/fold_B/wo_localization_all_lora,f540ddb75bd25a9bbbd3117e89fb34e94c4a7a9f374e6aaadf3ad526b0067a7e,2b1e614077183ee0742d22242e5a3e9e3babeeb4baa485df79f80f39d0e1f6f5,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/knowledgeEdit/results/robust_nonedit_highrisk_20260605/deepseekcoder/fold_B/blast_50/selected_task_recommend_cases.jsonl,8,16.0,0.05,224,19988480,40118487,0,151.71,1465.69,0.3999999999999999,0.18258886787359996,0.944,0.012
deepseekcoder,C,BOUND,knowledgeEdit/results/robust_nonedit_highrisk_20260605/deepseekcoder/fold_C/blast_50,60b86e2d4fd543f3b5e0cfe7f2a75ed39e582e19326e28fef468840964dfcb7b,8747aaba46e7903951463a5698de0501ea7c62698754d90260f5dda85f13c020,knowledgeEdit/results/robust_nonedit_highrisk_20260605/deepseekcoder/fold_C/blast_50/selected_task_recommend_cases.jsonl,8,16.0,0.05,7,458752,922953,21.71,73.74,5631.75,0.37999999999999984,0.1417091566263586,0.936,0.044
deepseekcoder,C,All-module LoRA,knowledgeEdit/results/rq3_ablation_20260613/deepseekcoder/fold_C/wo_localization_all_lora,3c7f88553e65911de7e8e287bdc67d85ec99da769fc49f5655687e0d37271a02,d8189020670de277ffd547d5ad12d6047dbbd7aa19e62b65bcc033e01cc9475a,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/knowledgeEdit/results/robust_nonedit_highrisk_20260605/deepseekcoder/fold_C/blast_50/selected_task_recommend_cases.jsonl,8,16.0,0.05,224,19988480,40118487,0,135.62,2217.43,0.6679999999999999,0.45889455270712953,0.6819999999999999,0.068
deepseekcoder,D,BOUND,knowledgeEdit/results/robust_nonedit_highrisk_20260605/deepseekcoder/fold_D/blast_50,56f969559a371fb53ad972d870b73ce65764e7e83130c3ee9a0dd7e4f6c28ad1,224f879d38ef34555aa249bd0af14d92a2b78a4120a4b35ea58c20bec79d193b,knowledgeEdit/results/robust_nonedit_highrisk_20260605/deepseekcoder/fold_D/blast_50/selected_task_recommend_cases.jsonl,8,16.0,0.05,7,458752,922953,20.79,70.14,10451.4,0.44800000000000006,0.18652152533007232,0.932,0.026
deepseekcoder,D,All-module LoRA,knowledgeEdit/results/rq3_ablation_20260613/deepseekcoder/fold_D/wo_localization_all_lora,4e7e3d9065241c752b8f8a6b47f8bfe70c0acbe1343f7920e213e301720b07cf,5e60547d2af938b6e8cc70a120fc1ad3a6921b35f0df2eaebed1af797aa602e9,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/knowledgeEdit/results/robust_nonedit_highrisk_20260605/deepseekcoder/fold_D/blast_50/selected_task_recommend_cases.jsonl,8,16.0,0.05,224,19988480,40118487,0,179.14,2296.78,0.368,0.1718491251110702,0.8420000000000002,0.096
qwen3-release,A,BOUND,knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3-release/fold_A/blast_50,67cbeb9c39f2b12d6e7cb4c6d2486bd2436c98ddeb7b1d05e8410769d04dec18,ecc614ceba326a96a4ea9175e69cabc0e2f8076f0079c5364984e4b7544a1239,knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3-release/fold_A/blast_50/selected_task_recommend_cases.jsonl,8,16.0,0.05,9,368640,743885,26.24,85.65,2602.5,0.09399999999999999,0.048799782527414105,0.86,0.116
qwen3-release,A,All-module LoRA,knowledgeEdit/results/rq3_ablation_20260613/qwen3-release/fold_A/wo_localization_all_lora,4f95c301b6ef928ba258722309f05c08826eebeaeff8219e712ae8b8830deda8,4115c9ba793aa481622d1c897387536a732618af089680bb7dfc3d8a2afe22c3,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3-release/fold_A/blast_50/selected_task_recommend_cases.jsonl,8,16.0,0.05,252,21823488,43806151,0,158.55,1001.7,0.20999999999999996,0.13460062523169708,0.6859999999999999,0.254
qwen3-release,B,BOUND,knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3-release/fold_B/blast_50,ea0cb104cb2340e65efa0969a466a17a4f93c5344feb4f8f041b09cf706a6f66,a5c0cf1094023f93582044c77a80aa382a3b4ef2d20d64851bd0a7d997f0512d,knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3-release/fold_B/blast_50/selected_task_recommend_cases.jsonl,8,16.0,0.05,9,368640,743885,25.43,85.39,2288.65,0.08999999999999998,0.06194288473699967,0.54,0.434
qwen3-release,B,All-module LoRA,knowledgeEdit/results/rq3_ablation_20260613/qwen3-release/fold_B/wo_localization_all_lora,29cc5a732f5fa458f29b5d6a0fa821eb17b4d05f263ceaaf32cf21915d94b874,fe092577f79753297fc8f6253e4513859fc8ebff1778a26b335accd703b826ef,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3-release/fold_B/blast_50/selected_task_recommend_cases.jsonl,8,16.0,0.05,252,21823488,43806151,0,151.23,458.63,0.036000000000000004,0.03411544011544012,0.468,0.512
qwen3-release,C,BOUND,knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3-release/fold_C/blast_50,3585642e0c6b6911a951c85e2485be4989776c689f3dbc284383054b81002923,2aa29048391f0fe10b8f2f8b17b7b4da0bb68c7d5fe652d60089c24c3dae9439,knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3-release/fold_C/blast_50/selected_task_recommend_cases.jsonl,8,16.0,0.05,9,368640,743885,24.75,83.22,3972.85,0.17999999999999997,0.10390383600064328,0.7020000000000001,0.28
qwen3-release,C,All-module LoRA,knowledgeEdit/results/rq3_ablation_20260613/qwen3-release/fold_C/wo_localization_all_lora,7917496dbe155ccc48736b91da95759fd7211f48c96f19796ca9658da35a3e7d,20c3420034f2bf84a4672abdac4ed6451524f9d47f0b6a3e9a2befa81dc9b0a5,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3-release/fold_C/blast_50/selected_task_recommend_cases.jsonl,8,16.0,0.05,252,21823488,43806151,0,154.12,1312.57,0.138,0.06274002991206191,0.48600000000000015,0.506
qwen3-release,D,BOUND,knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3-release/fold_D/blast_50,fca872ddd9f53d450ae31809c38560aed45b754bfd3e35074d8cc81434cd5ac8,14d531b5236ab4d5a80f85710990c5b294db9553b1d1fec797973d9542c161d0,knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3-release/fold_D/blast_50/selected_task_recommend_cases.jsonl,8,16.0,0.05,9,368640,743885,25.02,89.8,4703.47,0.15600000000000003,0.06600800157800828,0.8039999999999998,0.19
qwen3-release,D,All-module LoRA,knowledgeEdit/results/rq3_ablation_20260613/qwen3-release/fold_D/wo_localization_all_lora,6091eceddae8d89b79c9b501078fc3b2a0fa868044d0f366214adffd9cd8aa1f,8eeceba84cf416cb6b4caffd9cd78cb2b9ea53d9ed8a9a3e960230909f9fdabe,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/knowledgeEdit/results/robust_nonedit_highrisk_20260605/qwen3-release/fold_D/blast_50/selected_task_recommend_cases.jsonl,8,16.0,0.05,252,21823488,43806151,0,179.65,677.26,0.019999999999999997,0.015324786324786326,0.9079999999999998,0.074
llama3.1-release,A,BOUND,knowledgeEdit/results/robust_nonedit_highrisk_20260605/llama3.1-release/fold_A/blast_50,bf8b0c909bc74c0e4db4f1e134376b4c65ed639bfe724fe49da980bf8ff57183,0495c73ca7902cb23e33baa00db1403b192af53f96c92d75b60a021861de3d25,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/knowledgeEdit/results/robust_nonedit_highrisk_20260605/llama3.1-release/fold_A/blast_50/selected_task_recommend_cases.jsonl,8,16.0,0.05,7,286720,578889,24.64,90.4,14884.32,0.612,0.24878833950912868,0.9620000000000001,0.008
llama3.1-release,A,All-module LoRA,knowledgeEdit/results/rq3_ablation_20260613/llama3.1-release/fold_A/wo_localization_all_lora,276933231890f0989b369e13e1f00b8a5df14d736bdeaab8dbff09ad25a058f4,e8ac5c220073226b4512e5c70201ec8fdc23986cb7f9cb9d790f325ba0ba11c6,/data0/shuhanliu/code/PackageHallucinationEdit/reference/PackageHallucination/KnowledgeEdit2/knowledgeEdit/results/robust_nonedit_highrisk_20260605/llama3.1-release/fold_A/blast_50/selected_task_recommend_cases.jsonl,8,16.0,0.05,224,20971520,42084567,0,162.88,1250.85,0.3960000000000001,0.2273944927046152,0.7019999999999998,0.218
